"cohort_month","month_offset","total_customers","retention_rate"
"1/06/2017 12:00:00 AM","6","12","0.00382287352660083"
"1/06/2017 12:00:00 AM","7","7","0.00223000955718382"
"1/06/2017 12:00:00 AM","8","4","0.00127429117553361"
"1/06/2017 12:00:00 AM","9","7","0.00223000955718382"
"1/06/2017 12:00:00 AM","10","10","0.00318572793883402"
"1/06/2017 12:00:00 AM","11","11","0.00350430073271743"
"1/06/2017 12:00:00 AM","12","5","0.00159286396941701"
"1/06/2017 12:00:00 AM","13","4","0.00127429117553361"
"1/06/2017 12:00:00 AM","14","6","0.00191143676330041"
"1/06/2017 12:00:00 AM","15","0","0"
"1/06/2017 12:00:00 AM","16","0","0"
"1/07/2017 12:00:00 AM","0","3894","1"
"1/07/2017 12:00:00 AM","1","20","0.00513610683102209"
"1/07/2017 12:00:00 AM","2","14","0.00359527478171546"
"1/07/2017 12:00:00 AM","3","10","0.00256805341551104"
"1/07/2017 12:00:00 AM","4","11","0.00282485875706215"
"1/07/2017 12:00:00 AM","5","8","0.00205444273240883"
"1/07/2017 12:00:00 AM","6","12","0.00308166409861325"
"1/07/2017 12:00:00 AM","7","4","0.00102722136620442"
"1/07/2017 12:00:00 AM","8","7","0.00179763739085773"
"1/07/2017 12:00:00 AM","9","10","0.00256805341551104"
"1/07/2017 12:00:00 AM","10","9","0.00231124807395994"
"1/07/2017 12:00:00 AM","11","12","0.00308166409861325"
"1/07/2017 12:00:00 AM","12","5","0.00128402670775552"
"1/07/2017 12:00:00 AM","13","10","0.00256805341551104"
"1/07/2017 12:00:00 AM","14","0","0"
"1/07/2017 12:00:00 AM","15","0","0"
"1/08/2017 12:00:00 AM","0","4184","1"
"1/08/2017 12:00:00 AM","1","29","0.00693116634799235"
"1/08/2017 12:00:00 AM","2","14","0.00334608030592734"
"1/08/2017 12:00:00 AM","3","11","0.00262906309751434"
"1/08/2017 12:00:00 AM","4","15","0.00358508604206501"
"1/08/2017 12:00:00 AM","5","22","0.00525812619502868"
"1/08/2017 12:00:00 AM","6","12","0.00286806883365201"
"1/08/2017 12:00:00 AM","7","11","0.00262906309751434"
"1/08/2017 12:00:00 AM","8","6","0.001434034416826"
"1/08/2017 12:00:00 AM","9","6","0.001434034416826"
"1/08/2017 12:00:00 AM","10","10","0.00239005736137667"
"1/08/2017 12:00:00 AM","11","8","0.00191204588910134"
"1/08/2017 12:00:00 AM","12","4","0.000956022944550669"
"1/08/2017 12:00:00 AM","13","0","0"
"1/08/2017 12:00:00 AM","14","0","0"
"1/09/2017 12:00:00 AM","0","4130","1"
"1/09/2017 12:00:00 AM","1","28","0.00677966101694915"
"1/09/2017 12:00:00 AM","2","22","0.00532687651331719"
"1/09/2017 12:00:00 AM","3","12","0.00290556900726392"
"1/09/2017 12:00:00 AM","4","19","0.00460048426150121"
"1/09/2017 12:00:00 AM","5","9","0.00217917675544794"
"1/09/2017 12:00:00 AM","6","9","0.00217917675544794"
