"customer_unique_id","days_to_second_order"
"161b2eb506dd664bb5d23dc701a14b59","0"
"1647c6dc2941bd075dc5dd3448807bed","2"
"164ba50c15bd1157975375a75bbde58e","0"
"1650819cd492bbf4b9d189c7d4126475","74"
"165d93a9d1da194b47da42c9cf810ebd","78"
"16a23480d3c92eb40e134844d52aa63e","0"
"16a909e83380bb2ae4676ca69ac30886","212"
"16bd767d18bf82bb09fc51520f7ea5ab","48"
"16c8e42089546fde55ed3caa46478e7a","139"
"1741b0bef7ccbc530ba7287000d5f49f","84"
"175b8225bdd99e95a64e07a6c06e8746","7"
"176df29483e4fb6ce1d6dd1c824ad72d","247"
"1772c0fbee58b154da028487de51b74c","0"
"1772d62f5099be6942fbb3d3e881cc7c","13"
"177c725937ae5f96171bb8b43f196dfa","40"
"178a58ded2b9be43b90300e0e0e8e66c","35"
"179f496c6c02a7640d09f0843452e0fc","0"
"17a2d93cb1aab45e3d21d5eba7daaed2","174"
"17c7da60a0690728119612a54035452d","41"
"17dcb8c62667824b3e3755a5b680ebc6","0"
"17e873c00e3fef97c9f1347c6681bd1a","6"
"1803287d1e7138aec6ea9d3c963ed87d","0"
"18186af785c301b05127a291eac901e1","215"
"182053495bc94c2f41090ce8c41be266","101"
"186638bdb0f600c9bf2bd60e4b14537c","8"
"186e4b97d2704e8b76235b8d7c5d38ab","0"
"18753de7f8b65856d23473280e71ceb2","281"
"18a65d67bb184e736656cc017f09f7b8","0"
"18bc87094128bbfe943cf88adcf72059","515"
"18d61a27f478cd6201df948578f814f9","306"
"18e1192f2a6be73c4365dbc29eb7a6f7","1"
"18e3d276253780b44b5b7bf83f6785ec","202"
"18f17efd50fd7e9595cc1a40205c937c","57"
"1912afd96bbe171633bb73727487ef85","147"
"191525912e1a31a97bf8b481ce852f75","14"
"191e0f453bea7f50ce1fcd514af38835","97"
"194be31520cde5c527bad17720119e85","129"
"194f1bab01e4e36f4255603e9a427b89","23"
"19506c32fa96c6fa4505b4e3ad453b7b","23"
"198ba72088fecd3caeaf2dca0addcfb9","8"
"19be5923f7d998e76b9f3b1eb87c32af","199"
"19bedfc18c92d4e7eb6ba318a6c2033c","155"
"19c60787f1a478ec7345d03bc4298398","0"
"19cb65cc7310ae4eef4f15bb70539d01","57"
"19da55454167240f3a4a39430007d074","0"
"19de4cc79e2c2986e70b155b7631f61c","300"
"19f19354cf9524cc834a5036ff79925c","0"
"19f735a9a58a187253055f9d4bcc2bb6","171"
"19f8fcd23ed70e29220a6a2f13ecd911","31"
